order_no,booking_date,driver_id,license_plates,`status`,create_date,类型,driver_id,license_plates
"P33501563238472716","2017-08-01 12:53:00",\N,\N,"10","2017-08-01 12:53:58","其他",\N,\N
"P20501563260459938","2017-08-01 12:54:00",\N,\N,"10","2017-08-01 12:54:20","其他",\N,\N
"P26501563338451816","2017-08-02 08:00:00",\N,\N,"60","2017-08-01 12:55:38","其他",\N,\N
"P4501563368270277","2017-08-01 13:00:00","50287","京BZ6002","50","2017-08-01 12:56:08","绑单","50287","京BZ6002"
"P36501563479141765","2017-08-01 12:57:00",\N,\N,"60","2017-08-01 12:57:59","其他",\N,\N
"P24501563736514673","2017-08-01 13:36:00",\N,\N,"60","2017-08-01 13:02:16","其他",\N,\N
"P37501563976075019","2017-08-01 13:06:00",\N,\N,"60","2017-08-01 13:06:16","其他",\N,\N
"P22501564107472881","2017-08-01 13:08:00",\N,\N,"60","2017-08-01 13:08:27","其他",\N,\N
"P43501564378984820","2017-08-01 13:12:00",\N,\N,"60","2017-08-01 13:12:59","其他",\N,\N
"P33501564414347445","2017-08-02 08:00:00",\N,\N,"60","2017-08-01 13:13:34","其他",\N,\N
"P7501564521463639","2017-08-01 13:15:00",\N,\N,"60","2017-08-01 13:15:21","其他",\N,\N
"P45501564773287051","2017-08-01 17:00:00","10799","京BZ5331","50","2017-08-01 13:19:33","抢单","10799","京BZ5331"
"P27501564925284002","2017-08-02 08:00:00",\N,\N,"60","2017-08-01 13:22:05","其他",\N,\N
"P33501565085337638","2017-08-02 08:00:00",\N,\N,"60","2017-08-01 13:24:45","其他",\N,\N
"P35501565207602948","2017-08-01 13:26:00","26855","京BZ6006","50","2017-08-01 13:26:47","绑单","26855","京BZ6006"
"P30501565329509995","2017-08-02 08:00:00",\N,\N,"60","2017-08-01 13:28:49","其他",\N,\N
"P23501565445435687","2017-08-02 08:00:00",\N,\N,"60","2017-08-01 13:30:45","其他",\N,\N
"P24501565565533841","2017-08-02 08:00:00",\N,\N,"60","2017-08-01 13:32:45","其他",\N,\N
"P21501565692934684","2017-08-02 08:00:00",\N,\N,"60","2017-08-01 13:34:52","其他",\N,\N
"P40501565928547979","2017-08-02 08:00:00",\N,\N,"60","2017-08-01 13:38:48","其他",\N,\N
"P40501566395372744","2017-08-02 10:30:00",\N,\N,"60","2017-08-01 13:46:35","其他",\N,\N
"P10501566429190340","2017-08-02 10:30:00","23907","京BZ5770","50","2017-08-01 13:47:08","抢单","23907","京BZ5770"
"P40501566453741589","2017-08-01 13:47:00","17491","京BZ5319","50","2017-08-01 13:47:33","绑单","17491","京BZ5319"
"P3501566460504286","2017-08-02 08:40:00",\N,\N,"60","2017-08-01 13:47:40","其他",\N,\N
"P15501566631789102","2017-08-02 08:40:00",\N,\N,"60","2017-08-01 13:50:31","其他",\N,\N
"P35501567228345340","2017-08-01 17:30:00","40795","辽AR99Z0","50","2017-08-01 14:00:28","抢单","40795","辽AR99Z0"
"P13501567281606569","2017-08-02 08:40:00",\N,\N,"60","2017-08-01 14:01:21","其他",\N,\N
"P23501567922375716","2017-08-04 04:20:00","26981","京BZ5973","60","2017-08-01 14:12:02","抢单","26981","京BZ5973"
"P27501567956948634","2017-08-01 16:10:00","73379","晋A3641Y","60","2017-08-01 14:12:36","抢单","73379","晋A3641Y"
"P23501568012669757","2017-08-01 14:13:00",\N,\N,"60","2017-08-01 14:13:32","其他",\N,\N
"P34501568674210960","2017-08-02 08:00:00","17499","京BZ5325","50","2017-08-01 14:24:34","抢单","17499","京BZ5325"
"P35501568863851126","2017-08-01 14:27:00",\N,\N,"60","2017-08-01 14:27:43","其他",\N,\N
"P3501568905111039","2017-08-01 16:30:00","73379","晋A3641Y","60","2017-08-01 14:28:25","抢单","73379","晋A3641Y"
"P15501569059854214","2017-08-01 14:30:00","26811","京BZ5984","60","2017-08-01 14:30:59","绑单","26811","京BZ5984"
"P25501569180103410","2017-08-01 14:33:00",\N,\N,"60","2017-08-01 14:33:00","其他",\N,\N
"P23501570082361638","2017-08-02 09:18:00","54771","黑AH07U5","60","2017-08-01 14:48:02","抢单","54771","黑AH07U5"
"P27501570301271398","2017-08-01 18:00:00","26817","京BZ5987","60","2017-08-01 14:51:41","抢单","26817","京BZ5987"
"P40501570384909250","2017-08-03 06:20:00","23811","京BZ5793","60","2017-08-01 14:53:04","抢单","23811","京BZ5793"
"P23501570848652750","2017-08-01 15:00:00",\N,\N,"60","2017-08-01 15:00:48","其他",\N,\N
"P27501571060369415","2017-08-01 15:38:00",\N,\N,"60","2017-08-01 15:04:20","其他",\N,\N
"P23501571102777207","2017-08-01 19:30:00","26811","京BZ5984","60","2017-08-01 15:05:02","抢单","26811","京BZ5984"
"P15501571916550294","2017-08-01 15:18:00",\N,\N,"60","2017-08-01 15:18:36","其他",\N,\N
"P35501572052111425","2017-08-01 15:20:00",\N,\N,"60","2017-08-01 15:20:52","其他",\N,\N
"P37501573349360611","2017-08-01 15:42:00",\N,\N,"60","2017-08-01 15:42:29","其他",\N,\N
"P21501573466697111","2017-08-01 15:44:00",\N,\N,"60","2017-08-01 15:44:26","其他",\N,\N
"P24501574098421353","2017-08-01 20:00:00",\N,\N,"60","2017-08-01 15:54:58","其他",\N,\N
"P34501575215698109","2017-08-02 08:30:00","26827","京BZ5992","60","2017-08-01 16:13:35","抢单","26827","京BZ5992"
"P24501575331292776","2017-08-02 08:30:00","26827","京BZ5992","50","2017-08-01 16:15:31","抢单","26827","京BZ5992"
"P17501575518189749","2017-08-01 16:18:00",\N,\N,"60","2017-08-01 16:18:38","其他",\N,\N
"P24501575562228945","2017-08-02 09:00:00","10725","京BZ5323","50","2017-08-01 16:19:22","抢单","10725","京BZ5323"
"P21501577276231660","2017-08-02 06:30:00","41345","京BZ6066","60","2017-08-01 16:47:56","抢单","41345","京BZ6066"
"P45501577864939140","2017-08-01 16:57:00",\N,\N,"60","2017-08-01 16:57:44","其他",\N,\N
"P33501578809666056","2017-08-01 17:13:00",\N,\N,"60","2017-08-01 17:13:29","其他",\N,\N
"P20501578835540722","2017-08-01 17:13:00",\N,\N,"60","2017-08-01 17:13:55","其他",\N,\N
"P17501579606329237","2017-08-02 14:45:00","23817","京BZ5796","50","2017-08-01 17:26:46","抢单","23817","京BZ5796"
"P26501579765556948","2017-08-01 17:29:00",\N,\N,"60","2017-08-01 17:29:25","其他",\N,\N
"P13501579875077828","2017-08-01 18:28:00","43713","辽B1MR55","50","2017-08-01 17:31:14","抢单","43713","辽B1MR55"
"P26501579898729290","2017-08-01 17:31:00",\N,\N,"60","2017-08-01 17:31:38","其他",\N,\N
"P23501582444257333","2017-08-02 04:00:00","26967","京BZ5938","50","2017-08-01 18:14:04","抢单","26967","京BZ5938"
"P17501583527366059","2017-08-01 18:32:00",\N,\N,"60","2017-08-01 18:32:07","其他",\N,\N
"P17501583665231872","2017-08-01 18:34:00",\N,\N,"60","2017-08-01 18:34:25","其他",\N,\N
"P17501583791643539","2017-08-01 18:36:00",\N,\N,"60","2017-08-01 18:36:31","其他",\N,\N
"P35501583848201185","2017-08-01 18:37:00",\N,\N,"60","2017-08-01 18:37:28","其他",\N,\N
"P7501583938148453","2017-08-01 18:38:00",\N,\N,"60","2017-08-01 18:38:58","其他",\N,\N
"P40501584406080787","2017-08-01 18:46:00",\N,\N,"60","2017-08-01 18:46:45","其他",\N,\N
"P25501584778971974","2017-08-01 18:52:00",\N,\N,"60","2017-08-01 18:52:58","其他",\N,\N
"P30501585056203040","2017-08-02 05:30:00","27663","京BZ5946","60","2017-08-01 18:57:35","抢单","27663","京BZ5946"
"P36501585096228022","2017-08-01 18:58:00",\N,\N,"60","2017-08-01 18:58:16","其他",\N,\N
"P5501585243446532","2017-08-02 08:00:00","19435","京BZ5332","60","2017-08-01 19:00:43","抢单","19435","京BZ5332"
"P40501585281954524","2017-08-01 19:01:00",\N,\N,"60","2017-08-01 19:01:21","其他",\N,\N
"P40501585405471899","2017-08-01 19:03:00",\N,\N,"60","2017-08-01 19:03:24","其他",\N,\N
"P20501585408325311","2017-08-01 19:03:00",\N,\N,"10","2017-08-01 19:03:27","其他",\N,\N
"P10501585499648600","2017-08-01 19:04:00",\N,\N,"60","2017-08-01 19:04:59","其他",\N,\N
"P25501585509696177","2017-08-01 19:05:00",\N,\N,"60","2017-08-01 19:05:09","其他",\N,\N
"P5501585591540398","2017-08-01 19:06:00",\N,\N,"60","2017-08-01 19:06:31","其他",\N,\N
"P43501585598749205","2017-08-01 19:06:00",\N,\N,"60","2017-08-01 19:06:40","其他",\N,\N
"P34501585629271509","2017-08-01 19:07:00",\N,\N,"60","2017-08-01 19:07:09","其他",\N,\N
"P5501585724890652","2017-08-02 20:08:00","19481","京BZ5351","60","2017-08-01 19:08:44","抢单","19481","京BZ5351"
"P13501585725118913","2017-08-02 20:08:00","19481","京BZ5351","60","2017-08-01 19:08:44","抢单","19481","京BZ5351"
"P26501585804463012","2017-08-01 19:10:00",\N,\N,"10","2017-08-01 19:10:05","其他",\N,\N
"P5501585823867670","2017-08-01 19:10:00",\N,\N,"60","2017-08-01 19:10:23","其他",\N,\N
"P17501585881487852","2017-08-01 19:11:00",\N,\N,"60","2017-08-01 19:11:21","其他",\N,\N
"P13501586173961883","2017-08-03 09:40:00","23893","京BZ5763","50","2017-08-01 19:16:13","抢单","23893","京BZ5763"
"P40501586298930410","2017-08-01 19:18:00",\N,\N,"60","2017-08-01 19:18:18","其他",\N,\N
"P13501587182277876","2017-08-02 21:15:00","26815","京BZ5986","50","2017-08-01 19:33:03","抢单","26815","京BZ5986"
"P45501587598259293","2017-08-05 02:30:00","26811","京BZ5984","60","2017-08-01 19:39:58","抢单","26811","京BZ5984"
"P27501587608188129","2017-08-05 11:55:00","41345","京BZ6066","50","2017-08-01 19:40:10","抢单","41345","京BZ6066"
"P3501588147588501","2017-08-02 06:30:00",\N,\N,"60","2017-08-01 19:49:07","其他",\N,\N
"P23501588277663669","2017-08-02 06:30:00",\N,\N,"60","2017-08-01 19:51:17","其他",\N,\N
"P23501589012783295","2017-08-01 20:03:00",\N,\N,"60","2017-08-01 20:03:32","其他",\N,\N
"P23501589036511671","2017-08-01 20:03:00","12988","沪BMM579","50","2017-08-01 20:03:57","绑单","12988","沪BMM579"
"P43501589361522162","2017-08-01 20:09:00",\N,\N,"60","2017-08-01 20:09:21","其他",\N,\N
"P34501589600065213","2017-08-01 20:13:00","114103","苏AK66W1","60","2017-08-01 20:13:20","绑单","114103","苏AK66W1"
"P10501589935375912","2017-08-01 20:18:00","43713","辽B1MR55","50","2017-08-01 20:18:54","绑单","43713","辽B1MR55"
"P13501590000813202","2017-08-03 14:55:00","26869","京BZ6013","50","2017-08-01 20:20:00","抢单","26869","京BZ6013"
"P17501590495808016","2017-08-01 20:28:00",\N,\N,"60","2017-08-01 20:28:15","其他",\N,\N
"P45501591429746141","2017-08-02 10:10:00","23893","京BZ5763","60","2017-08-01 20:43:49","抢单","23893","京BZ5763"
"P23501591655595083","2017-08-02 07:10:00",\N,\N,"60","2017-08-01 20:47:35","其他",\N,\N
"P36501591880019700","2017-08-02 07:10:00",\N,\N,"60","2017-08-01 20:51:20","其他",\N,\N
"P43501591982152765","2017-08-01 20:53:00",\N,\N,"60","2017-08-01 20:53:02","其他",\N,\N
"P5501592251126435","2017-08-02 07:10:00",\N,\N,"60","2017-08-01 20:57:31","其他",\N,\N
"P35501592372162995","2017-08-01 20:59:00",\N,\N,"60","2017-08-01 20:59:32","其他",\N,\N
"P27501592501089224","2017-08-01 21:01:00",\N,\N,"60","2017-08-01 21:01:41","其他",\N,\N
"P36501592581135932","2017-08-01 21:03:00",\N,\N,"60","2017-08-01 21:03:01","其他",\N,\N
"P34501592620131903","2017-08-01 21:03:00",\N,\N,"60","2017-08-01 21:03:40","其他",\N,\N
"P45501592726553066","2017-08-01 21:05:00",\N,\N,"60","2017-08-01 21:05:26","其他",\N,\N
"P33501592920325958","2017-08-02 07:10:00",\N,\N,"60","2017-08-01 21:08:40","其他",\N,\N
"P35501593004150302","2017-08-02 07:10:00",\N,\N,"60","2017-08-01 21:10:04","其他",\N,\N
